2016-12-26 23:21:44,205 |OFBiz-config-1       |DatabaseUtil                  |E| Unable to establish a connection with the database for helperName [localpostolap]... Error was: java.sql.SQLException: Unable to acquire a new connection from the pool
2016-12-26 23:21:44,205 |OFBiz-config-1       |DatabaseUtil                  |E| Unable to establish a connection with the database, no additional information available.
2016-12-26 23:21:44,205 |OFBiz-config-0       |DatabaseUtil                  |E| Unable to establish a connection with the database, no additional information available.
2016-12-26 23:21:44,205 |OFBiz-config-0       |DatabaseUtil                  |E| Could not get table name information from the database, aborting.
2016-12-26 23:21:44,205 |OFBiz-config-1       |DatabaseUtil                  |E| Could not get table name information from the database, aborting.
2016-12-26 23:21:44,311 |OFBiz-config-2       |DatabaseUtil                  |I| Database Product Name is PostgreSQL
2016-12-26 23:21:44,311 |OFBiz-config-2       |DatabaseUtil                  |I| Database Product Version is 9.1.23
2016-12-26 23:21:44,311 |OFBiz-config-2       |DatabaseUtil                  |I| Database Driver Name is PostgreSQL Native Driver
2016-12-26 23:21:44,311 |OFBiz-config-2       |DatabaseUtil                  |I| Database Driver Version is PostgreSQL 8.3 JDBC3 with SSL (build 604)
2016-12-26 23:21:44,311 |OFBiz-config-2       |DatabaseUtil                  |I| Database Driver JDBC Version is 3.0
2016-12-26 23:21:44,311 |OFBiz-config-2       |DatabaseUtil                  |I| Database Setting/Support Information (those with a * should be true):
2016-12-26 23:21:44,312 |OFBiz-config-2       |DatabaseUtil                  |I| - supports transactions     [true]*
2016-12-26 23:21:44,313 |OFBiz-config-2       |DatabaseUtil                  |I| - isolation None            [false]
2016-12-26 23:21:44,313 |OFBiz-config-2       |DatabaseUtil                  |I| - isolation ReadCommitted   [true]
2016-12-26 23:21:44,313 |OFBiz-config-2       |DatabaseUtil                  |I| - isolation ReadUncommitted [true]
2016-12-26 23:21:44,313 |OFBiz-config-2       |DatabaseUtil                  |I| - isolation RepeatableRead  [true]
2016-12-26 23:21:44,314 |OFBiz-config-2       |DatabaseUtil                  |I| - isolation Serializable    [true]
2016-12-26 23:21:44,314 |OFBiz-config-2       |DatabaseUtil                  |I| - forward only type         [true]
2016-12-26 23:21:44,314 |OFBiz-config-2       |DatabaseUtil                  |I| - scroll sensitive type     [false]
