2016-10-23 00:00:28,452 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/retryFailedAuths] finished in [1103] milliseconds
2016-10-23 00:00:28,649 |OFBiz-JobQueue-1     |GenericDAO                    |T| Ran query in 1498 milli-seconds:  EntityName: InventoryItem Sql: SELECT INVENTORY_ITEM_ID, INVENTORY_ITEM_TYPE_ID, PRODUCT_ID, PARTY_ID, OWNER_PARTY_ID, STATUS_ID, DATETIME_RECEIVED, DATETIME_MANUFACTURED, EXPIRE_DATE, FACILITY_ID, CONTAINER_ID, LOT_ID, UOM_ID, BIN_NUMBER, LOCATION_SEQ_ID, COMMENTS, QUANTITY_ON_HAND_TOTAL, AVAILABLE_TO_PROMISE_TOTAL, ACCOUNTING_QUANTITY_TOTAL, QUANTITY_ON_HAND, AVAILABLE_TO_PROMISE, SERIAL_NUMBER, SOFT_IDENTIFIER, ACTIVATION_NUMBER, ACTIVATION_VALID_THRU, UNIT_COST, CURRENCY_UOM_ID, LAST_UPDATED_STAMP, LAST_UPDATED_TX_STAMP, CREATED_STAMP, CREATED_TX_STAMP, FIXED_ASSET_ID FROM public.INVENTORY_ITEM WHERE (AVAILABLE_TO_PROMISE_TOTAL < ?) where clause:[AVAILABLE_TO_PROMISE_TOTAL=0]
2016-10-23 00:00:28,649 |OFBiz-JobQueue-1     |InventoryServices             |I| OOS Inventory Items: 0
2016-10-23 00:00:28,651 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/checkInventoryAvailability] finished in [1506] milliseconds
2016-10-23 00:00:28,682 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Create Also Bought Product Associations] Id [11205] -- Next runtime: Mon Oct 24 00:00:00 IST 2016
2016-10-23 00:00:29,361 |OFBiz-JobQueue-0     |GenericDAO                    |T| Ran query in 409 milli-seconds:  EntityName: RecurrenceRule Sql: SELECT RECURRENCE_RULE_ID, FREQUENCY, UNTIL_DATE_TIME, COUNT_NUMBER, INTERVAL_NUMBER, BY_SECOND_LIST, BY_MINUTE_LIST, BY_HOUR_LIST, BY_DAY_LIST, BY_MONTH_DAY_LIST, BY_YEAR_DAY_LIST, BY_WEEK_NO_LIST, BY_MONTH_LIST, BY_SET_POS_LIST, WEEK_START, X_NAME, LAST_UPDATED_STAMP, LAST_UPDATED_TX_STAMP, CREATED_STAMP, CREATED_TX_STAMP FROM public.RECURRENCE_RULE WHERE ((RECURRENCE_RULE_ID = ?)) where clause:[RECURRENCE_RULE_ID=9000]
2016-10-23 00:00:29,366 |OFBiz-JobQueue-0     |PersistedServiceJob           |W| Persisted Job [11214] references a RecurrenceInfo, recommend using TemporalExpression instead
2016-10-23 00:00:29,398 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Auto Reconcile Financial Account] Id [11214] -- Next runtime: Fri Oct 28 00:00:00 IST 2016
2016-10-23 00:00:30,427 |OFBiz-JobQueue-1     |GenericDAO                    |T| Ran query in 1730 milli-seconds:  EntityName: OrderHeader Sql: SELECT ORDER_ID FROM public.ORDER_HEADER WHERE ((ORDER_TYPE_ID = ? AND ENTRY_DATE > ?)) ORDER BY ENTRY_DATE ASC where clause:[ORDER_TYPE_ID=SALES_ORDER, ENTRY_DATE=2016-10-22 23:03:50.435]
2016-10-23 00:00:30,439 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createAlsoBoughtProductAssocs] finished in [1747] milliseconds
