2016-12-28 00:00:04,554 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/purgeOldStoreAutoPromos] finished in [511] milliseconds
2016-12-28 00:00:04,584 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths NSF] Id [10024] -- Next runtime: Thu Dec 29 00:00:00 IST 2016
2016-12-28 00:00:04,636 |OFBiz-JobQueue-0     |EntitySyncServices            |I| Running cleanSyncRemoveInfo
2016-12-28 00:00:04,864 |OFBiz-JobQueue-0     |GenericDAO                    |T| Ran query in 227 milli-seconds:  EntityName: EntitySync Sql: SELECT ENTITY_SYNC_ID, RUN_STATUS_ID, LAST_SUCCESSFUL_SYNCH_TIME, LAST_HISTORY_START_DATE, PRE_OFFLINE_SYNCH_TIME, OFFLINE_SYNC_SPLIT_MILLIS, SYNC_SPLIT_MILLIS, SYNC_END_BUFFER_MILLIS, MAX_RUNNING_NO_UPDATE_MILLIS, TARGET_SERVICE_NAME, TARGET_DELEGATOR_NAME, KEEP_REMOVE_INFO_HOURS, FOR_PULL_ONLY, FOR_PUSH_ONLY, LAST_UPDATED_STAMP, LAST_UPDATED_TX_STAMP, CREATED_STAMP, CREATED_TX_STAMP FROM public.ENTITY_SYNC where clause:[]
2016-12-28 00:00:04,966 |OFBiz-JobQueue-0     |EntitySyncServices            |I| In cleanSyncRemoveInfo removed [0] values with TX timestamp before [2016-12-27 00:00:04.877]
2016-12-28 00:00:04,968 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/cleanSyncRemoveInfo] finished in [414] milliseconds
2016-12-28 00:00:04,991 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths] Id [10025] -- Next runtime: Thu Dec 29 00:00:00 IST 2016
2016-12-28 00:00:05,184 |OFBiz-JobQueue-0     |GenericDAO                    |T| Ran query in 189 milli-seconds:  EntityName: OrderPaymentPreference Sql: SELECT ORDER_PAYMENT_PREFERENCE_ID, ORDER_ID, ORDER_ITEM_SEQ_ID, SHIP_GROUP_SEQ_ID, PRODUCT_PRICE_PURPOSE_ID, PAYMENT_METHOD_TYPE_ID, PAYMENT_METHOD_ID, FIN_ACCOUNT_ID, SECURITY_CODE, TRACK2, PRESENT_FLAG, SWIPED_FLAG, OVERFLOW_FLAG, MAX_AMOUNT, PROCESS_ATTEMPT, BILLING_POSTAL_CODE, MANUAL_AUTH_CODE, MANUAL_REF_NUM, STATUS_ID, NEEDS_NSF_RETRY, CREATED_DATE, CREATED_BY_USER_LOGIN, LAST_MODIFIED_DATE, LAST_MODIFIED_BY_USER_LOGIN, LAST_UPDATED_STAMP, LAST_UPDATED_TX_STAMP, CREATED_STAMP, CREATED_TX_STAMP FROM public.ORDER_PAYMENT_PREFERENCE WHERE ((STATUS_ID = ? AND PROCESS_ATTEMPT > ?)) ORDER BY ORDER_ID ASC where clause:[STATUS_ID=PAYMENT_NOT_AUTH, PROCESS_ATTEMPT=0]
2016-12-28 00:00:05,184 |OFBiz-JobQueue-1     |GenericDAO                    |T| Ran query in 526 milli-seconds:  EntityName: OrderPaymentPreference Sql: SELECT ORDER_PAYMENT_PREFERENCE_ID, ORDER_ID, ORDER_ITEM_SEQ_ID, SHIP_GROUP_SEQ_ID, PRODUCT_PRICE_PURPOSE_ID, PAYMENT_METHOD_TYPE_ID, PAYMENT_METHOD_ID, FIN_ACCOUNT_ID, SECURITY_CODE, TRACK2, PRESENT_FLAG, SWIPED_FLAG, OVERFLOW_FLAG, MAX_AMOUNT, PROCESS_ATTEMPT, BILLING_POSTAL_CODE, MANUAL_AUTH_CODE, MANUAL_REF_NUM, STATUS_ID, NEEDS_NSF_RETRY, CREATED_DATE, CREATED_BY_USER_LOGIN, LAST_MODIFIED_DATE, LAST_MODIFIED_BY_USER_LOGIN, LAST_UPDATED_STAMP, LAST_UPDATED_TX_STAMP, CREATED_STAMP, CREATED_TX_STAMP FROM public.ORDER_PAYMENT_PREFERENCE WHERE ((NEEDS_NSF_RETRY = ? AND LAST_UPDATED_STAMP <= ?)) ORDER BY ORDER_ID ASC where clause:[NEEDS_NSF_RETRY=Y, LAST_UPDATED_STAMP=2016-12-21 00:00:04.656]
2016-12-28 00:00:05,184 |OFBiz-JobQueue-0     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
