2016-12-27 00:00:08,215 |OFBiz-JobQueue-0     |GenericDAO                    |T| Ran query in 314 milli-seconds:  EntityName: ProductStorePromoAndAppl Sql: SELECT PP.PROMO_NAME, PP.USER_ENTERED, PSPA.FROM_DATE, PSPA.SEQUENCE_NUM, PSPA.MANUAL_ONLY, PSPA.PRODUCT_STORE_ID, PSPA.PRODUCT_PROMO_ID, PSPA.THRU_DATE FROM public.PRODUCT_STORE_PROMO_APPL PSPA INNER JOIN public.PRODUCT_PROMO PP ON PSPA.PRODUCT_PROMO_ID = PP.PRODUCT_PROMO_ID WHERE ((PSPA.PRODUCT_STORE_ID IS NULL AND PP.USER_ENTERED = ? AND PSPA.THRU_DATE IS NOT NULL AND PSPA.THRU_DATE < ?)) where clause:[PP_USER_ENTERED=Y, PSPA_THRU_DATE=2016-12-27 00:00:07.895]
2016-12-27 00:00:08,217 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/purgeOldStoreAutoPromos] finished in [323] milliseconds
2016-12-27 00:00:08,241 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Clear EntitySyncRemove Info] Id [10008] -- Next runtime: Wed Dec 28 00:00:00 IST 2016
2016-12-27 00:00:08,244 |OFBiz-JobQueue-0     |EntitySyncServices            |I| Running cleanSyncRemoveInfo
2016-12-27 00:00:08,470 |OFBiz-JobQueue-0     |EntitySyncServices            |I| In cleanSyncRemoveInfo removed [0] values with TX timestamp before [2016-12-26 00:00:08.389]
2016-12-27 00:00:08,472 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/cleanSyncRemoveInfo] finished in [230] milliseconds
2016-12-27 00:00:08,498 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths NSF] Id [10009] -- Next runtime: Wed Dec 28 00:00:00 IST 2016
2016-12-27 00:00:08,981 |OFBiz-JobQueue-0     |GenericDAO                    |T| Ran query in 478 milli-seconds:  EntityName: OrderPaymentPreference Sql: SELECT ORDER_PAYMENT_PREFERENCE_ID, ORDER_ID, ORDER_ITEM_SEQ_ID, SHIP_GROUP_SEQ_ID, PRODUCT_PRICE_PURPOSE_ID, PAYMENT_METHOD_TYPE_ID, PAYMENT_METHOD_ID, FIN_ACCOUNT_ID, SECURITY_CODE, TRACK2, PRESENT_FLAG, SWIPED_FLAG, OVERFLOW_FLAG, MAX_AMOUNT, PROCESS_ATTEMPT, BILLING_POSTAL_CODE, MANUAL_AUTH_CODE, MANUAL_REF_NUM, STATUS_ID, NEEDS_NSF_RETRY, CREATED_DATE, CREATED_BY_USER_LOGIN, LAST_MODIFIED_DATE, LAST_MODIFIED_BY_USER_LOGIN, LAST_UPDATED_STAMP, LAST_UPDATED_TX_STAMP, CREATED_STAMP, CREATED_TX_STAMP FROM public.ORDER_PAYMENT_PREFERENCE WHERE ((NEEDS_NSF_RETRY = ? AND LAST_UPDATED_STAMP <= ?)) ORDER BY ORDER_ID ASC where clause:[NEEDS_NSF_RETRY=Y, LAST_UPDATED_STAMP=2016-12-20 00:00:08.5]
2016-12-27 00:00:08,981 |OFBiz-JobQueue-0     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2016-12-27 00:00:08,984 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/retryFailedAuthNsfs] finished in [485] milliseconds
2016-12-27 00:00:09,005 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths] Id [10010] -- Next runtime: Wed Dec 28 00:00:00 IST 2016
2016-12-27 00:00:09,010 |OFBiz-JobQueue-1     |GenericDAO                    |T| Ran query in 349 milli-seconds:  EntityName: FinAccountTrans Sql: SELECT FIN_ACCOUNT_TRANS_ID, FIN_ACCOUNT_TRANS_TYPE_ID, FIN_ACCOUNT_ID, PARTY_ID, GL_RECONCILIATION_ID, TRANSACTION_DATE, ENTRY_DATE, AMOUNT, PAYMENT_ID, ORDER_ID, ORDER_ITEM_SEQ_ID, PERFORMED_BY_PARTY_ID, REASON_ENUM_ID, COMMENTS, STATUS_ID, LAST_UPDATED_STAMP, LAST_UPDATED_TX_STAMP, CREATED_STAMP, CREATED_TX_STAMP FROM public.FIN_ACCOUNT_TRANS WHERE (1=0) where clause:[]
2016-12-27 00:00:09,012 |OFBiz-JobQueue-0     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2016-12-27 00:00:09,013 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/retryFailedAuths] finished in [7] milliseconds
2016-12-27 00:00:09,034 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Extend expired Subscriptions] Id [10011] -- Next runtime: Wed Dec 28 00:00:00 IST 2016
2016-12-27 00:00:09,038 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/autoFinAccountReconciliation] finished in [1546] milliseconds
2016-12-27 00:00:09,087 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Run Auto-Reorders] Id [10012] -- Next runtime: Wed Dec 28 00:00:00 IST 2016
2016-12-27 00:00:09,105 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/runShoppingListAutoReorder] finished in [18] milliseconds
2016-12-27 00:00:09,130 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Cancels all orders after date] Id [10014] -- Next runtime: Wed Dec 28 00:00:00 IST 2016
2016-12-27 00:00:09,807 |OFBiz-JobQueue-0     |GenericDAO                    |T| Ran query in 770 milli-seconds:  EntityName: Subscription Sql: SELECT SUBSCRIPTION_ID, DESCRIPTION, SUBSCRIPTION_RESOURCE_ID, COMMUNICATION_EVENT_ID, CONTACT_MECH_ID, ORIGINATED_FROM_PARTY_ID, ORIGINATED_FROM_ROLE_TYPE_ID, PARTY_ID, ROLE_TYPE_ID, PARTY_NEED_ID, NEED_TYPE_ID, ORDER_ID, ORDER_ITEM_SEQ_ID, PRODUCT_ID, PRODUCT_CATEGORY_ID, INVENTORY_ITEM_ID, SUBSCRIPTION_TYPE_ID, EXTERNAL_SUBSCRIPTION_ID, FROM_DATE, THRU_DATE, PURCHASE_FROM_DATE, PURCHASE_THRU_DATE, MAX_LIFE_TIME, MAX_LIFE_TIME_UOM_ID, AVAILABLE_TIME, AVAILABLE_TIME_UOM_ID, USE_COUNT_LIMIT, USE_TIME, USE_TIME_UOM_ID, AUTOMATIC_EXTEND, CANCL_AUTM_EXT_TIME, CANCL_AUTM_EXT_TIME_UOM_ID, LAST_UPDATED_STAMP, LAST_UPDATED_TX_STAMP, CREATED_STAMP, CREATED_TX_STAMP FROM public.SUBSCRIPTION WHERE ((AUTOMATIC_EXTEND = ? AND ORDER_ID IS NOT NULL AND PRODUCT_ID IS NOT NULL)) where clause:[AUTOMATIC_EXTEND=Y]
2016-12-27 00:00:09,823 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/runSubscriptionAutoReorders] finished in [786] milliseconds
